site,url,category,flow_type,entry_point_cta,step_urls,field_sequence_visible,required_fields,optional_fields,answer_options,validation_rules,asks_rut,asks_phone,asks_email,contact_timing,consent_visible,captcha_or_login,visible_outcome_or_guidance,visible_thresholds_rules,submission_risk,stop_point,evidence_quality,confidence,RutaHogar_actionability,notes
"Maestra","https://maestra.cl/","inmobiliaria","project search + contact form + investor simulator link","Cotiza tu depto.; Simulador inversionista; Subsidios; Inversionista","https://maestra.cl/ -> https://maestra.cl/simulador-inversionista/","Home/contact fields observed: Nombre -> RUT -> Apellido -> Teléfono -> Correo -> Tipo de requerimiento -> Mensaje. Investor simulator link visible; earlier public review observed number of properties, term, pie UF","Contact form: name, RUT, surname, phone, email required","request type, message; investor calculator inputs if opened","Request type options include Post Venta, Ventas, Servicio al Cliente, Pago Proveedores, Trabaja con Nosotros. Investor term options previously observed 5/10/15/20/25/30","Contact not submitted; investor simulator not submitted","yes, early in contact","yes, early","yes, early","early for contact; investor simulator appears calculator-like","not observed","not observed","Public guidance: financing support, pie amigable, reserve with $100000, pay pie in up to 18 installments with card, PAT/PAC","Project prices from UF; pie up to 18 installments; reserva liviana $100000","Contact/quote would create lead","Stopped before contact submit and reservation/payment","observed_directly; stopped_due_contact_data","medium","add_to_recommendations; add_to_sales_dashboard","Pie in cuotas and investor path are relevant as post-result recommendations and sales segmentation."
"Socovesa","https://www.socovesa.cl/","inmobiliaria","project search + financing guidance + AI advisor","Pregúntale a Socovesa IA; Financiamiento; Complementa tu renta; Paga el pie en cuotas; Subsidio","https://www.socovesa.cl/ -> /como-comprar/formas-de-financiamiento/complementar-renta/ -> /pie-en-cuotas/","Home search: ciudad/comuna -> tipo de propiedad -> estado. Financing guidance: property as part payment, complement rent, pie in cuotas, subsidy. AI advisor visible as buyer support","No contact required for public guidance pages","Search filters; AI advisor; financing pages","Comuna/city list; property type Casa/Departamento; status Pre-lanzamiento/Venta en Blanco/Venta en Verde/Entrega Inmediata","No form validation for public guidance","not on observed guidance","not on observed guidance","not on observed guidance","delayed until user contacts / project flow","not observed","not observed","Educational guidance before contact; AI advisor answers public buyer questions","Complement relationships: spouse, direct family, third party/partner with children in common. Requirements include last 3 payslips or tax declarations, AFP certificate with 12 contributions, ID copy. Pie en cuotas handled through sales room","Contact/sales room would create lead","Stopped at public guidance; no chat/contact submitted","observed_directly","high","add_to_score; add_to_recommendations; add_to_sales_dashboard","Best inmobiliaria benchmark for complement relationship and separating financing paths from score."
"Fundamenta","https://www.fundamenta.cl/","inmobiliaria","project search + project/contact/newsletter","Información; Contacto; Suscríbete","https://www.fundamenta.cl/","Project search by comuna, unit type, delivery date observed in prior sweep; no financial prequalification fields captured","not observed","newsletter email / project contact likely","not reliably captured","not tested","not observed","not observed in captured public fields","possible email newsletter","early if newsletter/contact chosen","not observed","not observed","Project browsing and sales contact; public page emphasizes validating unit details with executives","Prices from UF on project cards; no financial thresholds captured","Contact/newsletter could create lead","Stopped before any contact/newsletter submission","partial_due_rendering; inferred_from_public_copy","low","no_action","Little public financial qualification depth."
"ECASA","https://ecasa.cl/","inmobiliaria","project filters + contact + subsidy/how-to-buy pages","Entérate primero; Contacto; Subsidios","https://ecasa.cl/","Filters: region -> comuna -> product/type. Project cards with price/status. Subsidy/how-to-buy content linked","not observed before contact","region/comuna/product filters","not reliably captured beyond filters","not tested","not observed","not observed","not observed before contact","contact likely early","not observed","not observed","Project discovery and education; no score/calculator captured","Project status and UF prices; subsidy pages linked","Contact/early-interest CTA could create lead","Stopped before contact","observed_directly; partial_due_rendering","low","add_to_recommendations","Subsidy education supports plan guidance but not score."
"Almagro","https://www.almagro.cl/","inmobiliaria","project/product page + financing education","not reliably captured","https://www.almagro.cl/","Page rendered blank/about:blank in browser run; earlier sweep found financing blog about property in part payment but no flow fields","not observed","not observed","not observed","not observed","not observed","not observed","not observed","unknown","not observed","partial render","No reliable public form captured in this run","No threshold captured","No submission attempted","Stopped due technical unavailable/blank render","partial_due_rendering","low","no_action","Requires revisit if business needs a stronger inmobiliaria sample."
"Pilares","https://www.pilares.cl/","inmobiliaria","project search + asesoría contact form + subsidy guidance","Busca, encuentra y agenda; Te asesoramos; Subsidio; Inversionistas","https://www.pilares.cl/","Search: comuna. Contact/advisory form: nombre -> apellido -> RUT -> email -> teléfono -> preferred contact mode -> project -> submit","Name, surname, RUT, email, phone, contact mode, project marked required","message or additional interest fields not fully captured","Contact mode: Email/Whatsapp/Teléfono; comuna options; project list; purchase modes include Subsidio DS1, Tu depto es tu pie, Subsidio a la tasa","No submit tested","yes, early","yes, early","yes, early","early in advisory form","not observed","cookie banner only","Guidance: free personalized financial advice, project browsing, subsidy/tasa options","Visible financing cards: Subsidio DS1; Tu depto es tu pie; Subsidio a la tasa","Submitting advisory form would create lead","Stopped before contact submit","observed_directly; stopped_due_contact_data","medium","add_to_recommendations; add_to_sales_dashboard","Good example of contact-first inmobiliaria lead routing."
"Inmobiliaria PY","https://py.cl/","inmobiliaria","project site","not reliably captured","https://py.cl/","Browser run rendered blank/about:blank; no reliable form fields captured","not observed","not observed","not observed","not observed","not observed","not observed","not observed","unknown","not observed","partial render","No reliable outcome captured","No threshold captured","No submission attempted","Stopped due blank render","partial_due_rendering","low","no_action","Do not infer hidden flow."
"INU / Inmobiliaria Nueva Urbe","https://www.inu.cl/","inmobiliaria","project browsing + contact/advisory CTA + process education","Te Asesoramos; Contacto; Ver Proyecto","https://www.inu.cl/","Home links: projects for sale, rental properties, investors, contact. Process: Cotización -> Oferta de Compra/reserva -> Financiamiento -> Firma de Promesa -> Escritura -> Entrega","none before contact","project/contact links","not observed","not tested","not before contact","not before contact","not before contact","after project/contact CTA","not observed","not observed","Explains purchase process and financing as one stage after reservation/cotización","No scoring threshold captured","Contact would create lead","Stopped at public process page / no contact form submit","observed_directly","medium","add_to_sales_dashboard","Useful for sales funnel stage mapping, not financial scoring."
"iProvidencia","https://www.iprovidencia.cl/","inmobiliaria","project site","not reliably captured","https://www.iprovidencia.cl/","Browser run rendered blank/about:blank; no reliable fields captured","not observed","not observed","not observed","not observed","not observed","not observed","not observed","unknown","not observed","partial render","No reliable outcome captured","No threshold captured","No submission attempted","Stopped due blank render","partial_due_rendering","low","no_action","Do not infer hidden flow."
"Puerto Capital","https://puertocapital.cl/","inmobiliaria","project filters + agenda + simulator CTA + WhatsApp lead","Agenda Ahora; Simulador; Hola estoy interesado en cotizar","https://puertocapital.cl/ -> https://puertocapital.cl/agendar-hora/ -> https://puertocapital.cl/simulador/","Home filters: comuna and tipo de compra. Links to Agenda Ahora, Simulador, project agenda, WhatsApp text for cotizar","none on home before CTA","filters","Comuna; tipo de compra; agenda/project CTAs","not tested","not observed on home","WhatsApp link would use phone channel","not observed on home","early if agenda/WhatsApp chosen","not observed","not observed","Routes quickly to agenda/simulator/contact; no financial calculator fields captured on home","No threshold captured","Agenda/WhatsApp/contact would create lead","Stopped before agenda or WhatsApp contact","observed_directly; stopped_due_lead_submission","medium","add_to_sales_dashboard","Tipo de compra and agenda intent are useful sales-readiness signals."
