site,url,category,flow_type,entry_point_cta,step_urls,field_sequence_visible,required_fields,optional_fields,answer_options,validation_rules,asks_rut,asks_phone,asks_email,contact_timing,consent_visible,captcha_or_login,visible_outcome_or_guidance,visible_thresholds_rules,submission_risk,stop_point,evidence_quality,confidence,scoreleads_actionability,notes
"TOCTOC + Itaú","https://www.toctoc.com/credito-hipotecario","portal / bank alliance","income-only affordability calculator + pre-evaluation","Calcular crédito; Simular crédito hipotecario; Comenzar pre-evaluación","https://www.toctoc.com/credito-hipotecario","Ingreso líquido -> Calcular -> term tabs 10/15/20/25/30 años -> dividend/property/credit estimate -> Simular crédito hipotecario CTA","Ingreso líquido for calculator","Checkbox ¿Ya tienes la propiedad de tus sueños?; codeudor only mentioned in copy as income to add","Term tabs 10, 15, 20, 25, 30 años","Calculator accepts numeric income; result footnote says dividend max is 25% of salary; credit calculation based on 80% financing","no","no","no","after public estimate, only if user chooses pre-evaluation","not on calculator","none observed before calculator result","Synthetic income 2500000 returned Dividendo máx $625000; Valor propiedad UF 1823; Monto crédito UF 1458; property range UF 1823-3653; process explains later review by Itaú","Renta mínima $1500000; no morosities; labor tenure minimum 3 months dependent and 1 year independent; dividend max 25%; financing assumption 80%","Pre-evaluation CTA likely creates bank lead or routes to Itau review","Stopped before Simular crédito hipotecario / pre-evaluation CTA","observed_after_safe_synthetic_input","high","add_to_score; add_to_recommendations; ask_after_result","Strongest benchmark for ScoreLeads capacity ratio and value-before-contact UX."
"Creditú","https://simulador.creditu.com/cl/simulation","proptech / mortgage advisor","multi-step mortgage simulator / lead gate","Simular","https://simulador.creditu.com/cl/simulation","Nombre -> Apellido -> subsidio yes/no -> valor vivienda UF -> pie UF -> ingreso líquido mensual -> cuotas mensuales otros créditos -> optional codeudor income -> optional inmobiliaria -> situación laboral -> fecha estimada de compra -> correo -> RUT -> teléfono -> Simular","Nombre; Apellido; subsidy choice; property value; down payment; income; other credit payments; employment; purchase date; email/RUT/phone before result","Codeudor income; inmobiliaria","Subsidio: Sin subsidio / Con subsidio. Employment: Dependiente / Independiente. Purchase date: Menos de 3 meses / De 3 a 6 meses / De 6 meses a 1 año / Más de 1 año / No lo sé","Button disabled until required fields are complete; currency fields format UF/CLP; result gated by contact data","yes, late","yes, late","yes, late","late after financial fields but before result","not observed before result","none observed in tested steps","No public result before contact gate; visible guidance is field structure and qualification sequence","No threshold visible in form; asks other credit payments and codebtor income explicitly","Final simulate would transmit contact/RUT and likely create lead","Stopped at contact gate before entering email/RUT/phone","observed_after_safe_synthetic_input; stopped_due_contact_data","medium","add_to_score; add_to_sales_dashboard; ask_after_result","Useful evidence that codeudor/complement should be numeric and purchase timing belongs in sales readiness."
"Creditú Pie Hipotecario","https://form.jotform.com/240515657119659","proptech / down-payment financing","pie financing lead form","Pie hipotecario","https://form.jotform.com/240515657119659","Nombre -> Apellido -> inmobiliaria -> proyecto -> valor propiedad UF -> pie a financiar UF -> ingreso mensual -> email -> Enviar","Name; last name; inmobiliaria; project; property value; pie to finance; income; email","none observed","Free-text / numeric form fields","Not tested to submit; form requires contact before outcome","no observed RUT","no observed phone","yes","late in short form but before any result","not observed","none observed","Lead form for financing missing pie, not a public calculator","Asks exact pie to finance in UF and income","Enviar would create a real lead","Stopped before submit","observed_directly; stopped_due_lead_submission","medium","add_to_recommendations; avoid","Pie financing should be an improvement path, not counted as ahorro disponible."
"Casaverso / BancoEstado portal","https://bancoestado.enlaceinmobiliario.cl/","bank portal / marketplace","portal search + simulator entry","Simulador Hipotecario","https://bancoestado.enlaceinmobiliario.cl/ -> https://casaverso.cl/simulador?step=TipoPropiedadCondicion","Portal search: region/comuna; property name/code. Simulator: property type + condition -> purchase timing -> property value UF + pie CLP + complement rent toggle -> subsidy and FOGAES -> age","Simulator requires type, condition, purchase timing, property value, valid pie, subsidy yes/no, age for result","Eco vivienda checkbox; complement rent toggle; FOGAES checkbox","Type: Departamento/Casa. Condition: Nuevas/Usadas. Timing: Inmediatamente / Antes de 2 meses / Entre 2 y 6 meses / Más de 6 meses solo estoy mirando. Subsidy: SI/NO","Pie validation shown: El pie debe estar entre el 10% y el 90% del valor de la propiedad. Age explanation: determines maximum term. Result button stayed disabled in tested browser despite age input","no before observed stop","no before observed stop","no before observed stop","not before result in visible steps","not observed","login link exists in nav but not required for visible simulator steps","Public simulator guides user through property, urgency, financing support, and age before contact","FOGAES/subsidio copy: new homes up to 4000 UF; subsidized new homes up to 3000 UF; reduce pie to 10%","No lead submitted; result button disabled in browser state","Stopped at disabled Ver resultados on step 5 after age input; did not force component","observed_after_safe_synthetic_input; partial_due_rendering","medium","add_to_score; add_to_recommendations; add_to_sales_dashboard","High-signal sequence for property type, condition, timing, subsidy/FOGAES, age-as-term."
"ComparaOnline Crédito Hipotecario","https://www.comparaonline.cl/credito-hipotecario","portal / comparator","mortgage comparison simulator","CALCULAR; Solicitar","https://www.comparaonline.cl/credito-hipotecario","Valor de la propiedad -> monto de pie -> plazo en años -> DFL2 checkbox -> product list filters -> Solicitar CTA per product","Property value; down payment; term","DFL2 checkbox; rate type filter; institution type; provider filter","Currency UF/Pesos; quick pie buttons 10%,15%,20%,25%,30%; term quick buttons 5,10,15,20,25,30; DFL2 yes/no","Calculate button disabled unless calculator state changes; results loaded with defaults in observed page","no before comparison","no before comparison","no before comparison","after product ranking, through Solicitar CTA","not on calculator","none observed before product ranking","Shows 18 credits with dividend, interest rate, total cost UF, operational expenses, maximum term","Default observed property UF 2000, pie 30%, term 10; filters include fixed/mixed/variable and bank/mutual","Solicitar likely creates external lead","Stopped before Solicitar","observed_directly","high","add_to_score; add_to_recommendations","Excellent benchmark for showing assumptions and comparing outcomes before contact."
"Buydepa","https://buydepa.com/","proptech / marketplace","property marketplace + mortgage advisory + long credit application","Quiero conocer mi crédito máximo; Simula tu Hipotecario; Simular crédito completo","https://buydepa.com/ -> https://buydepa.com/credito -> https://buydepa.com/credito/formulario","Home filters: comuna, dormitorios, precio máximo UF, tipo. Mortgage block: valor departamento, pie 15%, dividend from. Credit form: titular/cotitular code -> names -> RUT -> birth date -> gender -> phone -> email -> nationality -> housing situation -> address -> education -> employment -> marital status -> dependents -> debts -> real estate -> investments -> vehicles -> advisor type -> estimated property price -> submit","Credit application form requests many personal/contact/financial fields before submission; required flags visible on personal fields","Cotitular code; previous job; debts; real estate; investments; vehicles; advisor type","Gender Masculino/Femenino; nationality Chilena/Extranjero/a; housing situation Propia con Deuda/Arrendada/Propia sin Deuda/Propiedad Familiar; employment Dependiente/Independiente/Socio de empresa/Jubilado/Fuerzas Armadas/Policía; civil status Soltero/Casado/Convivencia civil/Divorciado/Viudo; debt type Crédito de Consumo/Tarjeta/Línea; currencies CLP/UF/USD","Form exposes reCAPTCHA response field; no submit tested","yes, early in credit form","yes, early in credit form","yes, early in credit form","early in full application; home shows value before form","not observed","reCAPTCHA field visible on credit pages","Home shows pre-approval online in minutes; compares 15+ institutions; finances up to 15% of pie; form is bank-style commercial file","Home mortgage block: property UF 3500; pie 15% UF 525; dividend from UF 16.5; financing up to 15% of pie","Formulario submit would create real advisory/credit lead and transmit personal data","Stopped at field observation; no synthetic data entered into full form","observed_directly; stopped_due_contact_data","high","add_to_score; add_to_recommendations; avoid","Good source for broad possible signals, but many are too invasive for ScoreLeads HdU 1-4."
"banca.me","https://www.banca.me/","proptech / asesoría / mutuaria channel","public product CTAs for mortgage and pie financing","Saber más; Crédito Hipotecario; Pie Hipotecario","https://www.banca.me/ -> https://www.banca.me/personas/hipotecario","Homepage public copy only; no mortgage form observed before CTA","none observed on homepage","none observed on homepage","not observed","not observed","not observed before CTA","not observed before CTA","not observed before CTA","not observed on public homepage","not observed","none observed on homepage","Copy: online, fast, secure financing; pie financing for missing part of down payment; mortgage managed by Andes mutuos hipotecarios","No threshold visible on homepage","CTA likely enters advisory/contact funnel","Stopped at public CTA; no form submitted","inferred_from_public_copy","low","add_to_recommendations","Useful positioning: separate mortgage and pie financing journeys."
"Tu Hipotecario","https://www.tuhipotecario.cl/","asesoría hipotecaria","lead qualification contact form","Solicitar TuHipotecario; Revise si calificas a un crédito hipotecario","https://www.tuhipotecario.cl/","Nombre y apellidos -> email -> teléfono -> RUT -> rango de renta -> Enviar","Name, email, phone, RUT, income range all marked required","none observed","Renta ranges: Menos de $1300000; $1300000-$1500000; $1500000-$2000000; $2000000-$3000000; $3000000-$4000000; $5000000 o más","Not submitted; form asks contact and RUT before result","yes, early","yes, early","yes, early","early before any result","not observed","none observed","Copy says profile financial/labor situation determines financing amount in 48 hours","Visible income band lower breakpoint around $1300000","Enviar would contact advisor / create lead","Stopped before entering contact data","observed_directly; stopped_due_contact_data","medium","add_to_sales_dashboard; avoid","Exact URL resolved as tuhipotecario.cl, not unresolved."
"Credibid","https://www.credibid.com/","proptech / credit decisioning / B2B","mini mortgage calculator + educational / B2B decision engine","Simular Dividendo; Cuánto me prestan; Simular ahora","https://www.credibid.com/","Browser render failed; public copy/search evidence indicates mini calculator with property price UF, down payment %, term 20/25/30 and B2B risk-decisioning","not reliably observed in browser","not reliably observed","Reported options include term 20/25/30 and down payment percent","not reliably observed","not observed","not observed","not observed","unknown","not observed","partial render; no CAPTCHA observed","Public education around dividend, FOGAES, property price, pie, term; B2B credit-risk decisioning","Public copy commonly references 20% pie and FOGAES 10% pie / high financing for eligible first-home cases","No submission attempted","Stopped because page repeatedly rendered blank/about:blank in browser","partial_due_rendering; inferred_from_public_copy","low","add_to_recommendations; no_action","Use as weak supporting evidence only, not as verified flow."
"LIDZ.ai","https://www.lidz.ai/","B2B SaaS / inmobiliaria lead qualification","AI sales / lead qualification demo form","Agenda una reunión","https://www.lidz.ai/","Public B2B copy -> demo form: Nombre -> Celular -> Email -> message -> Enviar","Name, phone, email required in demo form","message","No financial answer options observed on public form","not submitted","no","yes, early","yes, early","early demo contact form","cookie consent only","none observed","Copy claims AI/data-driven inmobiliaria lead qualification, contactability, reservations, response improvements","Visible metrics: 2x reservation rate, 6x possibility of closing, 65% response, 300% lower cost per qualified lead","Demo form creates B2B lead","Stopped before demo submission","observed_directly; stopped_due_lead_submission","medium","add_to_sales_dashboard","Useful for dashboard prioritization patterns, not consumer financial score."
